Region;Alder;Tid;value
0620;F65+;2013;892
0620;F65+;2014;916
0620;F65+;2015;949
0621;F0-19;2013;807
0621;F0-19;2014;805
0621;F0-19;2015;790
0621;F20-64;2013;1991
0621;F20-64;2014;1976
0621;F20-64;2015;1967
0621;F65+;2013;740
0621;F65+;2014;728
0621;F65+;2015;763
0622;F0-19;2013;462
0622;F0-19;2014;468
0622;F0-19;2015;469
0622;F20-64;2013;1358
0622;F20-64;2014;1374
0622;F20-64;2015;1359
0622;F65+;2013;403
0622;F65+;2014;423
0622;F65+;2015;440
0623;F0-19;2013;3039
0623;F0-19;2014;3092
0623;F0-19;2015;3113
0623;F20-64;2013;7872
0623;F20-64;2014;8007
0623;F20-64;2015;8030
0623;F65+;2013;2426
0623;F65+;2014;2482
0623;F65+;2015;2542
0624;F0-19;2013;4382
0624;F0-19;2014;4392
0624;F0-19;2015;4400
0624;F20-64;2013;10514
0624;F20-64;2014;10597
0624;F20-64;2015;10671
0624;F65+;2013;2856
0624;F65+;2014;2930
0624;F65+;2015;2968
0625;F0-19;2013;6284
0625;F0-19;2014;6276
0625;F0-19;2015;6320
0625;F20-64;2013;13990
0625;F20-64;2014;14060
0625;F20-64;2015;14220
0625;F65+;2013;3366
0625;F65+;2014;3475
0625;F65+;2015;3614
0626;F0-19;2013;6522
0626;F0-19;2014;6601
0626;F0-19;2015;6593
0626;F20-64;2013;14545
0626;F20-64;2014;14741
0626;F20-64;2015;14832
0626;F65+;2013;3696
0626;F65+;2014;3833
0626;F65+;2015;3953
0627;F0-19;2013;5498
0627;F0-19;2014;5621
0627;F0-19;2015;5720
0627;F20-64;2013;11835
0627;F20-64;2014;12140
0627;F20-64;2015;12361
0627;F65+;2013;2745
0627;F65+;2014;2860
0627;F65+;2015;2957
0628;F0-19;2013;2282
0628;F0-19;2014;2265
0628;F0-19;2015;2245
0628;F20-64;2013;5335
0628;F20-64;2014;5291
0628;F20-64;2015;5281
0628;F65+;2013;1704
0628;F65+;2014;1774
0628;F65+;2015;1839
0631;F0-19;2013;659
0631;F0-19;2014;674
0631;F0-19;2015;662
0631;F20-64;2013;1500
0631;F20-64;2014;1507
0631;F20-64;2015;1492
0631;F65+;2013;498
0631;F65+;2014;502
0631;F65+;2015;517
0632;F0-19;2013;304
0632;F0-19;2014;295
0632;F0-19;2015;292
0632;F20-64;2013;736
0632;F20-64;2014;747
0632;F20-64;2015;743
0632;F65+;2013;315
0632;F65+;2014;327
0632;F65+;2015;340
0633;F0-19;2013;576
0633;F0-19;2014;582
0633;F0-19;2015;570
0633;F20-64;2013;1400
0633;F20-64;2014;1406
0633;F20-64;2015;1405
0633;F65+;2013;555
0633;F65+;2014;569
0633;F65+;2015;566
0701;F0-19;2013;6452
0701;F0-19;2014;6438
0701;F0-19;2015;6374
0701;F20-64;2013;15453
0701;F20-64;2014;15502
0701;F20-64;2015;15584
0701;F65+;2013;4690
0701;F65+;2014;4811
0701;F65+;2015;4945
0704;F0-19;2013;9755
0704;F0-19;2014;9703
0704;F0-19;2015;9741
0704;F20-64;2013;24536
0704;F20-64;2014;24701
0704;F20-64;2015;24915
0704;F65+;2013;6948
0704;F65+;2014;7146
0704;F65+;2015;7264
0710;F0-19;2013;0
0710;F0-19;2014;0
0710;F0-19;2015;0
0710;F20-64;2013;0
0710;F20-64;2014;0
0710;F20-64;2015;0
0710;F65+;2013;0
0710;F65+;2014;0
0710;F65+;2015;0
0711;F0-19;2013;1554
0711;F0-19;2014;1523
0711;F0-19;2015;1511
0711;F20-64;2013;3880
0711;F20-64;2014;3896
0711;F20-64;2015;3888
0711;F65+;2013;1136
0711;F65+;2014;1161
0711;F65+;2015;1202
0712;F0-19;2013;0
0712;F0-19;2014;0
0712;F0-19;2015;0
0712;F20-64;2013;0
0712;F20-64;2014;0
0712;F20-64;2015;0
0712;F65+;2013;0
0712;F65+;2014;0
0712;F65+;2015;0
0713;F0-19;2013;2324
0713;F0-19;2014;2378
0713;F0-19;2015;2364
0713;F20-64;2013;5135
0713;F20-64;2014;5221
